Name,Image File,Social Media File
Volker Hömberg,Volker_Hömberg_image.jpg,N/A
Maximilian Mehdorn,Maximilian_Mehdorn_image.jpg,Maximilian_Mehdorn_social_media.txt
Hartmut Gülker,Hartmut_Gülker_image.jpg,N/A
Thomas Druyen,Thomas_Druyen_image.jpg,N/A
Michael Philippi,Michael_Philippi_image.jpg,N/A
Georg Sabin,Georg_Sabin_image.jpg,N/A
Hubertus Heuer,Hubertus_Heuer_image.jpg,N/A
Berhard Breil,Berhard_Breil_image.jpg,Berhard_Breil_social_media.txt
Simon Choi,Simon_Choi_image.jpg,Simon_Choi_social_media.txt
Timo Schinkoethe,Timo_Schinkoethe_image.jpg,Timo_Schinkoethe_social_media.txt
Rui Dong,Rui_Dong_image.jpg,Rui_Dong_social_media.txt
Prof. Mauro Andriotto,Prof._Mauro_Andriotto_image.jpg,Prof._Mauro_Andriotto_social_media.txt
Danny Christ,Danny_Christ_image.jpg,Danny_Christ_social_media.txt
Hilary Egwuagu,Hilary_Egwuagu_image.jpg,Hilary_Egwuagu_social_media.txt
Rizmy Shariff,Rizmy_Shariff_image.jpg,Rizmy_Shariff_social_media.txt
Timo Trippler,Timo_Trippler_image.jpg,Timo_Trippler_social_media.txt
Stefan Bergstrom,Stefan_Bergstrom_image.jpg,Stefan_Bergstrom_social_media.txt
Michael J. Kaldasch,Michael_J._Kaldasch_image.jpg,Michael_J._Kaldasch_social_media.txt
Ben El Idrissi,Ben_El_Idrissi_image.jpg,Ben_El_Idrissi_social_media.txt
Sankar Ghanesh,Sankar_Ghanesh_image.jpg,Sankar_Ghanesh_social_media.txt
Lazaros Fountoukidis,Lazaros_Fountoukidis_image.jpg,Lazaros_Fountoukidis_social_media.txt
Roxana Nasoi,Roxana_Nasoi_image.jpg,Roxana_Nasoi_social_media.txt
Stefan F. Krieg,Stefan_F._Krieg_image.jpg,N/A
Lin Wan,Lin_Wan_image.jpg,Lin_Wan_social_media.txt
Amer Mufti,Amer_Mufti_image.jpg,Amer_Mufti_social_media.txt
Sebastian Wehkamp,Sebastian_Wehkamp_image.jpg,N/A
Benjamin Bergmann,Benjamin_Bergmann_image.jpg,Benjamin_Bergmann_social_media.txt
Sopia Singdee,Sopia_Singdee_image.jpg,Sopia_Singdee_social_media.txt
Catherine Angcaya,Catherine_Angcaya_image.jpg,Catherine_Angcaya_social_media.txt
Daria Borisenko,Daria_Borisenko_image.jpg,Daria_Borisenko_social_media.txt
BingFeng Liu,BingFeng_Liu_image.jpg,BingFeng_Liu_social_media.txt
ZiLong Sun,ZiLong_Sun_image.jpg,ZiLong_Sun_social_media.txt
Markus Moench,Markus_Moench_image.jpg,Markus_Moench_social_media.txt
Gang Zhu,Gang_Zhu_image.jpg,Gang_Zhu_social_media.txt
Yang Chul,Yang_Chul_image.jpg,N/A
