Name,Image File,Social Media File
Erwin Werring,Erwin_Werring_image.jpg,Erwin_Werring_social_media.txt
Lennard Zwart,Lennard_Zwart_image.jpg,Lennard_Zwart_social_media.txt
Marius Jansen,Marius_Jansen_image.jpg,Marius_Jansen_social_media.txt
Remko Allertz,Remko_Allertz_image.jpg,Remko_Allertz_social_media.txt
Roeland Werring,Roeland_Werring_image.jpg,Roeland_Werring_social_media.txt
John Jansen,John_Jansen_image.jpg,John_Jansen_social_media.txt
Rico Engelbarts,Rico_Engelbarts_image.jpg,Rico_Engelbarts_social_media.txt
Artem Vysotsky,Artem_Vysotsky_image.jpg,Artem_Vysotsky_social_media.txt
Roel Berger,Roel_Berger_image.jpg,Roel_Berger_social_media.txt
Philip Langguth,Philip_Langguth_image.jpg,Philip_Langguth_social_media.txt
Loes Mensink,Loes_Mensink_image.jpg,Loes_Mensink_social_media.txt
Wouter Sleijffers,Wouter_Sleijffers_image.jpg,Wouter_Sleijffers_social_media.txt
Dick Snel,Dick_Snel_image.jpg,Dick_Snel_social_media.txt
Sam Garg,Sam_Garg_image.jpg,Sam_Garg_social_media.txt
Ian Bednowitz,Ian_Bednowitz_image.jpg,Ian_Bednowitz_social_media.txt
Steven Deurloo,Steven_Deurloo_image.jpg,Steven_Deurloo_social_media.txt
Jason Appleton (the Crypto Crow),Jason_Appleton_(the_Crypto_Crow)_image.jpg,Jason_Appleton_(the_Crypto_Crow)_social_media.txt
Jason Appleton (the Crypto Crow),Jason_Appleton_(the_Crypto_Crow)_image.jpg,Jason_Appleton_(the_Crypto_Crow)_social_media.txt
