Name,Image File,Social Media File
Jim Karkanias,Jim_Karkanias_image.jpg,Jim_Karkanias_social_media.txt
Janet Lawless,Janet_Lawless_image.jpg,Janet_Lawless_social_media.txt
Bharath Rao,Bharath_Rao_image.jpg,Bharath_Rao_social_media.txt
Steve Bacastow,Steve_Bacastow_image.jpg,Steve_Bacastow_social_media.txt
Andy Singleton,Andy_Singleton_image.jpg,Andy_Singleton_social_media.txt
Philip Lam,Philip_Lam_image.jpg,Philip_Lam_social_media.txt
Ken Moyle,Ken_Moyle_image.jpg,Ken_Moyle_social_media.txt
Stephen Harrington,Stephen_Harrington_image.jpg,Stephen_Harrington_social_media.txt
R. Bruce Reeves,R._Bruce_Reeves_image.jpg,N/A
Blair Cohen,Blair_Cohen_image.jpg,Blair_Cohen_social_media.txt
Jeff S. Jani,Jeff_S._Jani_image.jpg,Jeff_S._Jani_social_media.txt
Richard A. Huber Jr.,Richard_A._Huber_Jr._image.jpg,Richard_A._Huber_Jr._social_media.txt
Todd Reeves,Todd_Reeves_image.jpg,N/A
Jon Busey,Jon_Busey_image.jpg,N/A
Ric Merrifield,Ric_Merrifield_image.jpg,Ric_Merrifield_social_media.txt
Shawn Firminger,Shawn_Firminger_image.jpg,Shawn_Firminger_social_media.txt
Stephen Thwaits,Stephen_Thwaits_image.jpg,Stephen_Thwaits_social_media.txt
Allison Cassara,Allison_Cassara_image.jpg,Allison_Cassara_social_media.txt
Kiran Kumar Tadaka,Kiran_Kumar_Tadaka_image.jpg,Kiran_Kumar_Tadaka_social_media.txt
Ashutosh Tiwari,Ashutosh_Tiwari_image.jpg,Ashutosh_Tiwari_social_media.txt
Paul Dhaliwal,Paul_Dhaliwal_image.jpg,Paul_Dhaliwal_social_media.txt
Raveendar Allaparthi,Raveendar_Allaparthi_image.jpg,Raveendar_Allaparthi_social_media.txt
Satya Mallick,Satya_Mallick_image.jpg,Satya_Mallick_social_media.txt
Matt Flagg,Matt_Flagg_image.jpg,Matt_Flagg_social_media.txt
