Name,Image File,Social Media File
Igor Khmel,Igor_Khmel_image.jpg,Igor_Khmel_social_media.txt
Denis Khoruzhiy,Denis_Khoruzhiy_image.jpg,Denis_Khoruzhiy_social_media.txt
Dmitry Dolgov,Dmitry_Dolgov_image.jpg,Dmitry_Dolgov_social_media.txt
Stan Sushko,Stan_Sushko_image.jpg,Stan_Sushko_social_media.txt
Nauris Dauksta,Nauris_Dauksta_image.jpg,Nauris_Dauksta_social_media.txt
Maria Mikhaylenko,Maria_Mikhaylenko_image.jpg,Maria_Mikhaylenko_social_media.txt
Petr Korolev,Petr_Korolev_image.jpg,Petr_Korolev_social_media.txt
Vitaly Dubinin,Vitaly_Dubinin_image.jpg,Vitaly_Dubinin_social_media.txt
Constantine Kurbatoff,Constantine_Kurbatoff_image.jpg,Constantine_Kurbatoff_social_media.txt
Nehemia Kramer,Nehemia_Kramer_image.jpg,N/A
Gabriele Columbro,Gabriele_Columbro_image.jpg,N/A
David Wachsman,David_Wachsman_image.jpg,N/A
Chris Skinner,Chris_Skinner_image.jpg,N/A
Sergey Sergienko,Sergey_Sergienko_image.jpg,N/A
Peter Cramton,Peter_Cramton_image.jpg,N/A
