Name,Image File,Social Media File
Paul Veradittakit,Paul_Veradittakit_image.jpg,N/A
Bo Shen,Bo_Shen_image.jpg,N/A
Andy Tian,Andy_Tian_image.jpg,N/A
Danny Yang,Danny_Yang_image.jpg,N/A
Mark Mai,Mark_Mai_image.jpg,N/A
Matthew Liu,Matthew_Liu_image.jpg,N/A
Josh Fraser,Josh_Fraser_image.jpg,N/A
Jiawei Zhang,Jiawei_Zhang_image.jpg,N/A
Addison Huegel,Addison_Huegel_image.jpg,N/A
Melody He,Melody_He_image.jpg,N/A
Chen,Chen_image.jpg,Chen_social_media.txt
Heidi Yu,Heidi_Yu_image.jpg,Heidi_Yu_social_media.txt
Rock Zhang,Rock_Zhang_image.jpg,Rock_Zhang_social_media.txt
Adam Charles,Adam_Charles_image.jpg,Adam_Charles_social_media.txt
Reza Bakhshandeh,Reza_Bakhshandeh_image.jpg,N/A
