Name,Image File,Social Media File
Peter Gal,Peter_Gal_image.jpg,Peter_Gal_social_media.txt
Martin Herman,Martin_Herman_image.jpg,Martin_Herman_social_media.txt
Philip Staehelin,Philip_Staehelin_image.jpg,Philip_Staehelin_social_media.txt
Dite Gashi,Dite_Gashi_image.jpg,Dite_Gashi_social_media.txt
Monja Prole,Monja_Prole_image.jpg,Monja_Prole_social_media.txt
Viktor Mikulasek,Viktor_Mikulasek_image.jpg,Viktor_Mikulasek_social_media.txt
Peter Dendis,Peter_Dendis_image.jpg,Peter_Dendis_social_media.txt
David Stancel,David_Stancel_image.jpg,David_Stancel_social_media.txt
Ondrej Sarnecky,Ondrej_Sarnecky_image.jpg,Ondrej_Sarnecky_social_media.txt
Michal Ugor,Michal_Ugor_image.jpg,Michal_Ugor_social_media.txt
Sarah Weiss,Sarah_Weiss_image.jpg,Sarah_Weiss_social_media.txt
Robert Herman,Robert_Herman_image.jpg,Robert_Herman_social_media.txt
Adam Vrabel,Adam_Vrabel_image.jpg,Adam_Vrabel_social_media.txt
Giacomo Tognoni,Giacomo_Tognoni_image.jpg,Giacomo_Tognoni_social_media.txt
Viktor Jurasek,Viktor_Jurasek_image.jpg,Viktor_Jurasek_social_media.txt
