Name,Image File,Social Media File
Sahil Kohli,Sahil_Kohli_image.jpg,Sahil_Kohli_social_media.txt
Saumil Kohli,Saumil_Kohli_image.jpg,Saumil_Kohli_social_media.txt
Kunal Nandwani,Kunal_Nandwani_image.jpg,Kunal_Nandwani_social_media.txt
John Mcafee,John_Mcafee_image.jpg,John_Mcafee_social_media.txt
Reuben Godfrey,Reuben_Godfrey_image.jpg,Reuben_Godfrey_social_media.txt
Fabian Kippenberg,Fabian_Kippenberg_image.jpg,Fabian_Kippenberg_social_media.txt
Victor Wong,Victor_Wong_image.jpg,Victor_Wong_social_media.txt
Simon Cocking,Simon_Cocking_image.jpg,Simon_Cocking_social_media.txt
Issac Lee,Issac_Lee_image.jpg,Issac_Lee_social_media.txt
Francisco Jo,Francisco_Jo_image.jpg,Francisco_Jo_social_media.txt
