Name,Image File,Social Media File
Mary Spio,Mary_Spio_image.jpg,Mary_Spio_social_media.txt
Ray Gagnon,Ray_Gagnon_image.jpg,Ray_Gagnon_social_media.txt
Lauri Clark,Lauri_Clark_image.jpg,Lauri_Clark_social_media.txt
Akim Millington,Akim_Millington_image.jpg,Akim_Millington_social_media.txt
Saibaba Talluri,Saibaba_Talluri_image.jpg,Saibaba_Talluri_social_media.txt
Tina Brown,Tina_Brown_image.jpg,Tina_Brown_social_media.txt
Alex Lasarev,Alex_Lasarev_image.jpg,Alex_Lasarev_social_media.txt
Mukthar Mussabetov,Mukthar_Mussabetov_image.jpg,Mukthar_Mussabetov_social_media.txt
Mathieu Glaude,Mathieu_Glaude_image.jpg,Mathieu_Glaude_social_media.txt
David Gould,David_Gould_image.jpg,David_Gould_social_media.txt
Harry Kloor,Harry_Kloor_image.jpg,Harry_Kloor_social_media.txt
Venu Cherukuri,Venu_Cherukuri_image.jpg,Venu_Cherukuri_social_media.txt
Chaithanya Pallapothula,Chaithanya_Pallapothula_image.jpg,Chaithanya_Pallapothula_social_media.txt
"Dr Carri Allen Jones, Md.","Dr_Carri_Allen_Jones,_Md._image.jpg","Dr_Carri_Allen_Jones,_Md._social_media.txt"
Gopi Prashanth,Gopi_Prashanth_image.jpg,Gopi_Prashanth_social_media.txt
Peter Moore,Peter_Moore_image.jpg,Peter_Moore_social_media.txt
Rebecca Gregory,Rebecca_Gregory_image.jpg,Rebecca_Gregory_social_media.txt
Ian Scarffe,Ian_Scarffe_image.jpg,Ian_Scarffe_social_media.txt
