Name,Image File,Social Media File
Yury Myshinsky,Yury_Myshinsky_image.jpg,Yury_Myshinsky_social_media.txt
Alexander Volkorezov,Alexander_Volkorezov_image.jpg,Alexander_Volkorezov_social_media.txt
Ilya Sorokin,Ilya_Sorokin_image.jpg,N/A
Hu Jie,Hu_Jie_image.jpg,N/A
Lu Ting,Lu_Ting_image.jpg,N/A
Andrey Ivanenko,Andrey_Ivanenko_image.jpg,N/A
Elena Mitrofanova,Elena_Mitrofanova_image.jpg,Elena_Mitrofanova_social_media.txt
Natalia Alekseeva,Natalia_Alekseeva_image.jpg,N/A
Vladislav Tarasenkov,Vladislav_Tarasenkov_image.jpg,N/A
Elina Yaroslavskaya,Elina_Yaroslavskaya_image.jpg,Elina_Yaroslavskaya_social_media.txt
Fernando Muto Brevillieri,Fernando_Muto_Brevillieri_image.jpg,Fernando_Muto_Brevillieri_social_media.txt
Svetlana Popova,Svetlana_Popova_image.jpg,Svetlana_Popova_social_media.txt
Nikolay Shkilev,Nikolay_Shkilev_image.jpg,Nikolay_Shkilev_social_media.txt
Vladimir Nikitin,Vladimir_Nikitin_image.jpg,Vladimir_Nikitin_social_media.txt
Phillip Nun,Phillip_Nun_image.jpg,Phillip_Nun_social_media.txt
Tarlan Kornilov,Tarlan_Kornilov_image.jpg,Tarlan_Kornilov_social_media.txt
Vagiz Nurullov,Vagiz_Nurullov_image.jpg,Vagiz_Nurullov_social_media.txt
Anatoly Bordyugov,Anatoly_Bordyugov_image.jpg,Anatoly_Bordyugov_social_media.txt
Igor Gurkov,Igor_Gurkov_image.jpg,Igor_Gurkov_social_media.txt
Alexey Poyarkov,Alexey_Poyarkov_image.jpg,N/A
Semyon Gleim,Semyon_Gleim_image.jpg,N/A
Wagan Sarukhanov,Wagan_Sarukhanov_image.jpg,Wagan_Sarukhanov_social_media.txt
