Name,Image File,Social Media File
Dominic Williams,Dominic_Williams_image.jpg,Dominic_Williams_social_media.txt
Timo Hanke,Timo_Hanke_image.jpg,Timo_Hanke_social_media.txt
Ben Lynn,Ben_Lynn_image.jpg,Ben_Lynn_social_media.txt
Andreas Rossberg,Andreas_Rossberg_image.jpg,N/A
Mahnush Movahedi,Mahnush_Movahedi_image.jpg,Mahnush_Movahedi_social_media.txt
Martin Becze,Martin_Becze_image.jpg,N/A
Paul Liu,Paul_Liu_image.jpg,Paul_Liu_social_media.txt
Shigeo Mitsunari,N\A,N/A
Enzo Haussecker,Enzo_Haussecker_image.jpg,Enzo_Haussecker_social_media.txt
Norton Wang,Norton_Wang_image.jpg,Norton_Wang_social_media.txt
Ximin Luo,N\A,N/A
Maciej Woś,N\A,N/A
Steve Omohundro,Steve_Omohundro_image.jpg,Steve_Omohundro_social_media.txt
Robert Lauko,Robert_Lauko_image.jpg,Robert_Lauko_social_media.txt
Tom Ding,Tom_Ding_image.jpg,Tom_Ding_social_media.txt
Artia Moghbel,Artia_Moghbel_image.jpg,Artia_Moghbel_social_media.txt
Blair Lewis,Blair_Lewis_image.jpg,Blair_Lewis_social_media.txt
Jennifer Ok,Jennifer_Ok_image.jpg,Jennifer_Ok_social_media.txt
Arthur Falls,Arthur_Falls_image.jpg,Arthur_Falls_social_media.txt
Michael Hunte,Michael_Hunte_image.jpg,Michael_Hunte_social_media.txt
Cédric Waldburger,Cédric_Waldburger_image.jpg,Cédric_Waldburger_social_media.txt
Tomomi Menjo,Tomomi_Menjo_image.jpg,Tomomi_Menjo_social_media.txt
Bryan Ford,Bryan_Ford_image.jpg,Bryan_Ford_social_media.txt
Philipp Jovanovic,Philipp_Jovanovic_image.jpg,Philipp_Jovanovic_social_media.txt
Eleftherios K'-kogias,Eleftherios_K'-kogias_image.jpg,Eleftherios_K'-kogias_social_media.txt
Ewa Syta,Ewa_Syta_image.jpg,N/A
Stevens Le Blond,Stevens_Le_Blond_image.jpg,N/A
Linus Gasser,Linus_Gasser_image.jpg,Linus_Gasser_social_media.txt
Cristina Basescu,Cristina_Basescu_image.jpg,Cristina_Basescu_social_media.txt
Nicolas Gailly,Nicolas_Gailly_image.jpg,Nicolas_Gailly_social_media.txt
