Name,Image File,Social Media File
Jim Bai,Jim_Bai_image.jpg,Jim_Bai_social_media.txt
Craig Austin,Craig_Austin_image.jpg,Craig_Austin_social_media.txt
Jerald David,Jerald_David_image.jpg,Jerald_David_social_media.txt
Eric Rogstad,Eric_Rogstad_image.jpg,Eric_Rogstad_social_media.txt
Evan Rothmayer,Evan_Rothmayer_image.jpg,Evan_Rothmayer_social_media.txt
Ryan Hansen,Ryan_Hansen_image.jpg,Ryan_Hansen_social_media.txt
Pavel Petukhov,Pavel_Petukhov_image.jpg,Pavel_Petukhov_social_media.txt
Sohyung Kang,N\A,Sohyung_Kang_social_media.txt
Kay Chang,N\A,Kay_Chang_social_media.txt
Earth Koed,N\A,Earth_Koed_social_media.txt
Simon Sejoon Kim,Simon_Sejoon_Kim_image.jpg,Simon_Sejoon_Kim_social_media.txt
Howard Chao,Howard_Chao_image.jpg,Howard_Chao_social_media.txt
Pang Chau,Pang_Chau_image.jpg,Pang_Chau_social_media.txt
Stephen Klein,Stephen_Klein_image.jpg,Stephen_Klein_social_media.txt
Jimmy Homma,Jimmy_Homma_image.jpg,Jimmy_Homma_social_media.txt
Jon Anderson,Jon_Anderson_image.jpg,Jon_Anderson_social_media.txt
