Name,Image File,Social Media File
Leonz Kessler,Leonz_Kessler_image.jpg,N/A
Niklas Lattmann,Niklas_Lattmann_image.jpg,N/A
Balz Lenzi,Balz_Lenzi_image.jpg,N/A
Conz Brändli,Conz_Brändli_image.jpg,N/A
Ruven Häsler,Ruven_Häsler_image.jpg,N/A
Helen Düscher,Helen_Düscher_image.jpg,N/A
Nolan Schalcher,Nolan_Schalcher_image.jpg,N/A
Kevin Asper,Kevin_Asper_image.jpg,N/A
Jonas Zahner,Jonas_Zahner_image.jpg,N/A
Juna Wegmüller,Juna_Wegmüller_image.jpg,N/A
Levin Sidler,Levin_Sidler_image.jpg,N/A
Leon Schöni,Leon_Schöni_image.jpg,N/A
Théo Hagenbuch,Théo_Hagenbuch_image.jpg,N/A
Louis Bichsel,Louis_Bichsel_image.jpg,N/A
Jürg Aerne,Jürg_Aerne_image.jpg,N/A
