Name,Image File,Social Media File
Rumen Slavchov,Rumen_Slavchov_image.jpg,Rumen_Slavchov_social_media.txt
Nikolay Shkilev,Nikolay_Shkilev_image.jpg,Nikolay_Shkilev_social_media.txt
Daniil Morozov,Daniil_Morozov_image.jpg,Daniil_Morozov_social_media.txt
Ian Scarffe,Ian_Scarffe_image.jpg,Ian_Scarffe_social_media.txt
Phillip Nunn,Phillip_Nunn_image.jpg,Phillip_Nunn_social_media.txt
Graham Doggart,Graham_Doggart_image.jpg,Graham_Doggart_social_media.txt
Sadie Hutton,Sadie_Hutton_image.jpg,Sadie_Hutton_social_media.txt
Taiga Harigai,Taiga_Harigai_image.jpg,Taiga_Harigai_social_media.txt
Sergi Fernandez,Sergi_Fernandez_image.jpg,Sergi_Fernandez_social_media.txt
Marc Garcia,Marc_Garcia_image.jpg,N/A
Jaume Pina,Jaume_Pina_image.jpg,Jaume_Pina_social_media.txt
Gerard Sole,Gerard_Sole_image.jpg,N/A
Mónica Mollà,Mónica_Mollà_image.jpg,Mónica_Mollà_social_media.txt
Zenos Pavlakou,Zenos_Pavlakou_image.jpg,Zenos_Pavlakou_social_media.txt
