Name,Image File,Social Media File
Roman Demidov,Roman_Demidov_image.jpg,Roman_Demidov_social_media.txt
Victor Bananchin,Victor_Bananchin_image.jpg,Victor_Bananchin_social_media.txt
Anna Markitan,Anna_Markitan_image.jpg,Anna_Markitan_social_media.txt
Denis Baklanov,Denis_Baklanov_image.jpg,Denis_Baklanov_social_media.txt
Kraskova Valeria,Kraskova_Valeria_image.jpg,Kraskova_Valeria_social_media.txt
Elizaveta Osiptsova,Elizaveta_Osiptsova_image.jpg,Elizaveta_Osiptsova_social_media.txt
Petr Berdyshev,Petr_Berdyshev_image.jpg,Petr_Berdyshev_social_media.txt
Niklas Koskimies,Niklas_Koskimies_image.jpg,Niklas_Koskimies_social_media.txt
Andrey Kurkin,Andrey_Kurkin_image.jpg,Andrey_Kurkin_social_media.txt
Tigran Tovmasyan,Tigran_Tovmasyan_image.jpg,Tigran_Tovmasyan_social_media.txt
Rick Tapia,Rick_Tapia_image.jpg,Rick_Tapia_social_media.txt
Krystelle Galano,Krystelle_Galano_image.jpg,Krystelle_Galano_social_media.txt
