Name,Image File,Social Media File
Chad Bennett,Chad_Bennett_image.jpg,Chad_Bennett_social_media.txt
Dave McDonald,Dave_McDonald_image.jpg,Dave_McDonald_social_media.txt
Jake Kendall,Jake_Kendall_image.jpg,Jake_Kendall_social_media.txt
Wyatt Semanek,Wyatt_Semanek_image.jpg,Wyatt_Semanek_social_media.txt
Sagar Acharya,Sagar_Acharya_image.jpg,Sagar_Acharya_social_media.txt
Ganesh Dharmawat,Ganesh_Dharmawat_image.jpg,Ganesh_Dharmawat_social_media.txt
Truman Proctor,Truman_Proctor_image.jpg,Truman_Proctor_social_media.txt
Tammy Bennett,Tammy_Bennett_image.jpg,Tammy_Bennett_social_media.txt
Nicholas McClurg,Nicholas_McClurg_image.jpg,Nicholas_McClurg_social_media.txt
Joseph Hall,Joseph_Hall_image.jpg,Joseph_Hall_social_media.txt
John McClurg,John_McClurg_image.jpg,John_McClurg_social_media.txt
David Bradford,David_Bradford_image.jpg,David_Bradford_social_media.txt
Baha Masoud,Baha_Masoud_image.jpg,Baha_Masoud_social_media.txt
Tricia Shumann,Tricia_Shumann_image.jpg,Tricia_Shumann_social_media.txt
Ryan Lewis,Ryan_Lewis_image.jpg,Ryan_Lewis_social_media.txt
Jeff Flamm,Jeff_Flamm_image.jpg,Jeff_Flamm_social_media.txt
Teri Klug,Teri_Klug_image.jpg,Teri_Klug_social_media.txt
Marc Glasser,Marc_Glasser_image.jpg,Marc_Glasser_social_media.txt
Garrett Gee,Garrett_Gee_image.jpg,Garrett_Gee_social_media.txt
Lee Johnson,Lee_Johnson_image.jpg,Lee_Johnson_social_media.txt
Curt Jeppson,Curt_Jeppson_image.jpg,Curt_Jeppson_social_media.txt
