Name,Image File,Social Media File
Giles Gailer,Giles_Gailer_image.jpg,Giles_Gailer_social_media.txt
T Aravinda Babu,T_Aravinda_Babu_image.jpg,T_Aravinda_Babu_social_media.txt
Kai Hsia,Kai_Hsia_image.jpg,Kai_Hsia_social_media.txt
Nathan van de Ven,Nathan_van_de_Ven_image.jpg,Nathan_van_de_Ven_social_media.txt
Marcus Campbell,Marcus_Campbell_image.jpg,Marcus_Campbell_social_media.txt
David Rippon,David_Rippon_image.jpg,David_Rippon_social_media.txt
Paul Cliffe,Paul_Cliffe_image.jpg,Paul_Cliffe_social_media.txt
Rob Virkar-Yates,Rob_Virkar-Yates_image.jpg,Rob_Virkar-Yates_social_media.txt
Reinhard Berger,Reinhard_Berger_image.jpg,Reinhard_Berger_social_media.txt
Jun Hao,Jun_Hao_image.jpg,Jun_Hao_social_media.txt
Dr. Jay (Jangwoo) Lee,Dr._Jay_(Jangwoo)_Lee_image.jpg,Dr._Jay_(Jangwoo)_Lee_social_media.txt
Marco Calicchia,Marco_Calicchia_image.jpg,Marco_Calicchia_social_media.txt
Prof Simon Choi,Prof_Simon_Choi_image.jpg,Prof_Simon_Choi_social_media.txt
Yuko Nakatsumi,Yuko_Nakatsumi_image.jpg,Yuko_Nakatsumi_social_media.txt
Aleksander Mamasidikov,Aleksander_Mamasidikov_image.jpg,Aleksander_Mamasidikov_social_media.txt
