Name,Image File,Social Media File
Kyung-Tae Kim,Kyung-Tae_Kim_image.jpg,Kyung-Tae_Kim_social_media.txt
David Suh,David_Suh_image.jpg,David_Suh_social_media.txt
Thomas  Choi,Thomas__Choi_image.jpg,Thomas__Choi_social_media.txt
Ziggy Bak,Ziggy_Bak_image.jpg,Ziggy_Bak_social_media.txt
Jay Kim,Jay_Kim_image.jpg,Jay_Kim_social_media.txt
Andrew Seo,Andrew_Seo_image.jpg,Andrew_Seo_social_media.txt
Michael Ahn,Michael_Ahn_image.jpg,Michael_Ahn_social_media.txt
Peter Han,Peter_Han_image.jpg,Peter_Han_social_media.txt
Newt Choi,Newt_Choi_image.jpg,Newt_Choi_social_media.txt
Donna  Lee,Donna__Lee_image.jpg,Donna__Lee_social_media.txt
Will  O’Brien,Will__O’Brien_image.jpg,Will__O’Brien_social_media.txt
Chanwoo Lee,Chanwoo_Lee_image.jpg,Chanwoo_Lee_social_media.txt
Ismail Malik,Ismail_Malik_image.jpg,Ismail_Malik_social_media.txt
Kingsley  Edwards,Kingsley__Edwards_image.jpg,Kingsley__Edwards_social_media.txt
Santhosh  Kumaraswamy,Santhosh__Kumaraswamy_image.jpg,Santhosh__Kumaraswamy_social_media.txt
Chanki Lee,Chanki_Lee_image.jpg,Chanki_Lee_social_media.txt
Yohan John Kim,Yohan_John_Kim_image.jpg,Yohan_John_Kim_social_media.txt
Sungjae Hwang,Sungjae_Hwang_image.jpg,Sungjae_Hwang_social_media.txt
Chiweon Kim,Chiweon_Kim_image.jpg,Chiweon_Kim_social_media.txt
Yoon-Sup  Choi,Yoon-Sup__Choi_image.jpg,Yoon-Sup__Choi_social_media.txt
Kwang-nam Kim,Kwang-nam_Kim_image.jpg,Kwang-nam_Kim_social_media.txt
Sung-ki Lim,Sung-ki_Lim_image.jpg,Sung-ki_Lim_social_media.txt
Gana  Oh,Gana__Oh_image.jpg,Gana__Oh_social_media.txt
