Name,Image File,Social Media File
Federico Ast,Federico_Ast_image.jpg,Federico_Ast_social_media.txt
Clément Lesaege,Clément_Lesaege_image.jpg,Clément_Lesaege_social_media.txt
Nicolas Wagner,Nicolas_Wagner_image.jpg,Nicolas_Wagner_social_media.txt
Sam Vitello,Sam_Vitello_image.jpg,Sam_Vitello_social_media.txt
Romina Kavcic,Romina_Kavcic_image.jpg,Romina_Kavcic_social_media.txt
Stuart James,Stuart_James_image.jpg,Stuart_James_social_media.txt
Enrique Piqueras,Enrique_Piqueras_image.jpg,Enrique_Piqueras_social_media.txt
William George,William_George_image.jpg,William_George_social_media.txt
Addison Huegel,Addison_Huegel_image.jpg,Addison_Huegel_social_media.txt
William O'Rorke,William_O'Rorke_image.jpg,William_O'Rorke_social_media.txt
Jerome De Tychey,Jerome_De_Tychey_image.jpg,Jerome_De_Tychey_social_media.txt
Mitchell Loureiro,Mitchell_Loureiro_image.jpg,Mitchell_Loureiro_social_media.txt
Spencer Bramson,Spencer_Bramson_image.jpg,Spencer_Bramson_social_media.txt
