Name,Image File,Social Media File
Ankeet Patel,Ankeet_Patel_image.jpg,N/A
Stewart Donnell,Stewart_Donnell_image.jpg,N/A
James Todaro,James_Todaro_image.jpg,James_Todaro_social_media.txt
Moshe Praver,Moshe_Praver_image.jpg,Moshe_Praver_social_media.txt
John Todaro,John_Todaro_image.jpg,John_Todaro_social_media.txt
Ryan Cody,Ryan_Cody_image.jpg,N/A
Arjun Dupati,Arjun_Dupati_image.jpg,Arjun_Dupati_social_media.txt
Bryan Baillis,Bryan_Baillis_image.jpg,N/A
Vimell Yuvarajah,Vimell_Yuvarajah_image.jpg,N/A
David Barmherzig,David_Barmherzig_image.jpg,N/A
Joseph Todaro,Joseph_Todaro_image.jpg,Joseph_Todaro_social_media.txt
Austin Waldo,Austin_Waldo_image.jpg,N/A
Paul Horvath,Paul_Horvath_image.jpg,N/A
