Name,Image File,Social Media File
Tang Boon Ping,Tang_Boon_Ping_image.jpg,Tang_Boon_Ping_social_media.txt
Brian Fan,Brian_Fan_image.jpg,Brian_Fan_social_media.txt
Kevin Pang,Kevin_Pang_image.jpg,Kevin_Pang_social_media.txt
Arief Widhiyasa,Arief_Widhiyasa_image.jpg,Arief_Widhiyasa_social_media.txt
Ricky Setiawan,Ricky_Setiawan_image.jpg,Ricky_Setiawan_social_media.txt
Jason Lim,Jason_Lim_image.jpg,Jason_Lim_social_media.txt
Roby Muhamad,Roby_Muhamad_image.jpg,N/A
Indra Gunawan,Indra_Gunawan_image.jpg,N/A
Roberto Capodieci,Roberto_Capodieci_image.jpg,N/A
Octavianus Tedjojuwono,Octavianus_Tedjojuwono_image.jpg,N/A
Otto Satrya Djauhari,Otto_Satrya_Djauhari_image.jpg,N/A
Karen New,Karen_New_image.jpg,N/A
