Name,Image File,Social Media File
Oleksandr Sahadyn,Oleksandr_Sahadyn_image.jpg,Oleksandr_Sahadyn_social_media.txt
Igor Rudiy,Igor_Rudiy_image.jpg,N/A
Maksym Repichev,Maksym_Repichev_image.jpg,Maksym_Repichev_social_media.txt
Alla Litvinenko,Alla_Litvinenko_image.jpg,Alla_Litvinenko_social_media.txt
Violetta Paiuk,Violetta_Paiuk_image.jpg,Violetta_Paiuk_social_media.txt
Vitaliy Starushok,Vitaliy_Starushok_image.jpg,N/A
Nykolai Moyarenko,Nykolai_Moyarenko_image.jpg,Nykolai_Moyarenko_social_media.txt
Oleksandr Terenov,Oleksandr_Terenov_image.jpg,Oleksandr_Terenov_social_media.txt
Oleksiy Hryschuk,Oleksiy_Hryschuk_image.jpg,Oleksiy_Hryschuk_social_media.txt
Vladimir Lapshin,Vladimir_Lapshin_image.jpg,Vladimir_Lapshin_social_media.txt
Tatyana Karvatskа,Tatyana_Karvatskа_image.jpg,Tatyana_Karvatskа_social_media.txt
Olga Nagorodna,Olga_Nagorodna_image.jpg,Olga_Nagorodna_social_media.txt
Inna Paladiychuk,Inna_Paladiychuk_image.jpg,Inna_Paladiychuk_social_media.txt
Аlyona Kovtanyuk,Аlyona_Kovtanyuk_image.jpg,Аlyona_Kovtanyuk_social_media.txt
Victor Kondratyuk,Victor_Kondratyuk_image.jpg,N/A
Bogdan Polin,Bogdan_Polin_image.jpg,N/A
Vadym Sagadin,Vadym_Sagadin_image.jpg,Vadym_Sagadin_social_media.txt
