Name,Image File,Social Media File
Dmitry Veremeenko,Dmitry_Veremeenko_image.jpg,Dmitry_Veremeenko_social_media.txt
Alexander Fedintsev,Alexander_Fedintsev_image.jpg,Alexander_Fedintsev_social_media.txt
Denis Varvanets,Denis_Varvanets_image.jpg,Denis_Varvanets_social_media.txt
Andrey Isaev,Andrey_Isaev_image.jpg,Andrey_Isaev_social_media.txt
Valentin Preobrazhenky,Valentin_Preobrazhenky_image.jpg,Valentin_Preobrazhenky_social_media.txt
Roman Yampolsky,Roman_Yampolsky_image.jpg,Roman_Yampolsky_social_media.txt
Oleg Melikhov,Oleg_Melikhov_image.jpg,Oleg_Melikhov_social_media.txt
Alexey Sitnikov,Alexey_Sitnikov_image.jpg,Alexey_Sitnikov_social_media.txt
Evgeniy Kovalev,Evgeniy_Kovalev_image.jpg,N/A
Evgeniy Kuznetsov,Evgeniy_Kuznetsov_image.jpg,N/A
Alex Turchin,Alex_Turchin_image.jpg,Alex_Turchin_social_media.txt
Sergey Markov,Sergey_Markov_image.jpg,N/A
Alisa Zhila,Alisa_Zhila_image.jpg,Alisa_Zhila_social_media.txt
Mikhail Batin,Mikhail_Batin_image.jpg,Mikhail_Batin_social_media.txt
Anastasia Egorova,Anastasia_Egorova_image.jpg,Anastasia_Egorova_social_media.txt
Nikolay Sidorov,Nikolay_Sidorov_image.jpg,Nikolay_Sidorov_social_media.txt
Ivan Shmidik,Ivan_Shmidik_image.jpg,Ivan_Shmidik_social_media.txt
Sergey Kobelev,Sergey_Kobelev_image.jpg,Sergey_Kobelev_social_media.txt
Ilya Kleshnin,Ilya_Kleshnin_image.jpg,Ilya_Kleshnin_social_media.txt
Elena Karyagina,Elena_Karyagina_image.jpg,Elena_Karyagina_social_media.txt
Stepan Habardin,Stepan_Habardin_image.jpg,Stepan_Habardin_social_media.txt
Roman Makarov,Roman_Makarov_image.jpg,Roman_Makarov_social_media.txt
