Name,Image File,Social Media File
Trevor Koverko,Trevor_Koverko_image.jpg,Trevor_Koverko_social_media.txt
Chris Housser,Chris_Housser_image.jpg,Chris_Housser_social_media.txt
Tracy Leparulo,Tracy_Leparulo_image.jpg,Tracy_Leparulo_social_media.txt
Graeme Moore,Graeme_Moore_image.jpg,Graeme_Moore_social_media.txt
Igor Denisov,Igor_Denisov_image.jpg,Igor_Denisov_social_media.txt
Kalman Gabriel,Kalman_Gabriel_image.jpg,Kalman_Gabriel_social_media.txt
Pablo Ruiz,Pablo_Ruiz_image.jpg,Pablo_Ruiz_social_media.txt
Shannon Clarke,Shannon_Clarke_image.jpg,Shannon_Clarke_social_media.txt
Adam Dossa,Adam_Dossa_image.jpg,Adam_Dossa_social_media.txt
Adam King,Adam_King_image.jpg,Adam_King_social_media.txt
Rachel Lam,Rachel_Lam_image.jpg,Rachel_Lam_social_media.txt
Steven Nerayoff,Steven_Nerayoff_image.jpg,Steven_Nerayoff_social_media.txt
Patrick Byrne,Patrick_Byrne_image.jpg,Patrick_Byrne_social_media.txt
Stan Miroshnik,Stan_Miroshnik_image.jpg,Stan_Miroshnik_social_media.txt
Erik Voorhees,Erik_Voorhees_image.jpg,Erik_Voorhees_social_media.txt
David Johnston,David_Johnston_image.jpg,David_Johnston_social_media.txt
Anthony Di Iorio,Anthony_Di_Iorio_image.jpg,Anthony_Di_Iorio_social_media.txt
Matt Roszak,Matt_Roszak_image.jpg,Matt_Roszak_social_media.txt
Gary Rubinoff,Gary_Rubinoff_image.jpg,Gary_Rubinoff_social_media.txt
Michael Perklin,Michael_Perklin_image.jpg,Michael_Perklin_social_media.txt
Bruce Fenton,Bruce_Fenton_image.jpg,Bruce_Fenton_social_media.txt
Brad Mills,Brad_Mills_image.jpg,Brad_Mills_social_media.txt
Steve Dakh,Steve_Dakh_image.jpg,Steve_Dakh_social_media.txt
Robby Dermody,Robby_Dermody_image.jpg,Robby_Dermody_social_media.txt
Liam Robertson,Liam_Robertson_image.jpg,N/A
Michael Terpin,Michael_Terpin_image.jpg,Michael_Terpin_social_media.txt
Simon Dixon,Simon_Dixon_image.jpg,Simon_Dixon_social_media.txt
Aly Madhavji,Aly_Madhavji_image.jpg,Aly_Madhavji_social_media.txt
