Name,Image File,Social Media File
Camillo Piscitelli,Camillo_Piscitelli_image.jpg,Camillo_Piscitelli_social_media.txt
Vincenzo Niglio,Vincenzo_Niglio_image.jpg,Vincenzo_Niglio_social_media.txt
Leon Gerard Vandenberg,Leon_Gerard_Vandenberg_image.jpg,Leon_Gerard_Vandenberg_social_media.txt
Stefano Della Valle,Stefano_Della_Valle_image.jpg,Stefano_Della_Valle_social_media.txt
Youssef El Habchi,Youssef_El_Habchi_image.jpg,Youssef_El_Habchi_social_media.txt
Shakil Ahmed,Shakil_Ahmed_image.jpg,Shakil_Ahmed_social_media.txt
Matteo Totaro,Matteo_Totaro_image.jpg,Matteo_Totaro_social_media.txt
Laura Ruggiero,Laura_Ruggiero_image.jpg,Laura_Ruggiero_social_media.txt
Pierpaolo Episcopo,Pierpaolo_Episcopo_image.jpg,Pierpaolo_Episcopo_social_media.txt
Gregorio Piscitelli,Gregorio_Piscitelli_image.jpg,Gregorio_Piscitelli_social_media.txt
Lorenzo Giacomini,Lorenzo_Giacomini_image.jpg,Lorenzo_Giacomini_social_media.txt
Chiara Gentili,Chiara_Gentili_image.jpg,Chiara_Gentili_social_media.txt
Aurora Cancelliere,Aurora_Cancelliere_image.jpg,Aurora_Cancelliere_social_media.txt
Raymond Chen,Raymond_Chen_image.jpg,Raymond_Chen_social_media.txt
Euna Lee,Euna_Lee_image.jpg,Euna_Lee_social_media.txt
Mattia Nocco,Mattia_Nocco_image.jpg,Mattia_Nocco_social_media.txt
Guglielmo Capone,Guglielmo_Capone_image.jpg,Guglielmo_Capone_social_media.txt
Luigi Bellini,Luigi_Bellini_image.jpg,Luigi_Bellini_social_media.txt
Jillian Godsil,Jillian_Godsil_image.jpg,Jillian_Godsil_social_media.txt
Marco Doni,Marco_Doni_image.jpg,Marco_Doni_social_media.txt
Vilma Misiukoniene,Vilma_Misiukoniene_image.jpg,Vilma_Misiukoniene_social_media.txt
Randall Mitchell,Randall_Mitchell_image.jpg,Randall_Mitchell_social_media.txt
Qusai Sharef,Qusai_Sharef_image.jpg,Qusai_Sharef_social_media.txt
Alessio Di Mario,Alessio_Di_Mario_image.jpg,Alessio_Di_Mario_social_media.txt
Raoul Chiesa,Raoul_Chiesa_image.jpg,Raoul_Chiesa_social_media.txt
Stefano Della Valle,Stefano_Della_Valle_image.jpg,Stefano_Della_Valle_social_media.txt
Sanem Avcil,Sanem_Avcil_image.jpg,Sanem_Avcil_social_media.txt
Khalid Cook,Khalid_Cook_image.jpg,Khalid_Cook_social_media.txt
Simon Cocking,Simon_Cocking_image.jpg,Simon_Cocking_social_media.txt
Leon Gerard Vandenberg,Leon_Gerard_Vandenberg_image.jpg,Leon_Gerard_Vandenberg_social_media.txt
Danny J. Christ,Danny_J._Christ_image.jpg,Danny_J._Christ_social_media.txt
Stefan Bergström,Stefan_Bergström_image.jpg,Stefan_Bergström_social_media.txt
Dave Metcalfe,Dave_Metcalfe_image.jpg,Dave_Metcalfe_social_media.txt
Mauro Andriotto,Mauro_Andriotto_image.jpg,Mauro_Andriotto_social_media.txt
Savio Gomez,Savio_Gomez_image.jpg,Savio_Gomez_social_media.txt
Miikka Saloseutu,Miikka_Saloseutu_image.jpg,Miikka_Saloseutu_social_media.txt
