Name,Image File,Social Media File
Pavel Maltsev,Pavel_Maltsev_image.jpg,N/A
Sergey Prilutskiy,Sergey_Prilutskiy_image.jpg,N/A
Anton Alekseenko,Anton_Alekseenko_image.jpg,N/A
Elena Lvova,Elena_Lvova_image.jpg,N/A
Anna Karbysheva,Anna_Karbysheva_image.jpg,N/A
Aleksey Levenets,Aleksey_Levenets_image.jpg,N/A
Yury Vasilchikov,Yury_Vasilchikov_image.jpg,N/A
Maksim Suchkov,Maksim_Suchkov_image.jpg,N/A
Ruslan Tugushev,Ruslan_Tugushev_image.jpg,N/A
Anatoly Bordyugov,Anatoly_Bordyugov_image.jpg,Anatoly_Bordyugov_social_media.txt
Vagiz Nurullov,Vagiz_Nurullov_image.jpg,N/A
Sergey Fedorinov,Sergey_Fedorinov_image.jpg,N/A
Elina Sidorenko,Elina_Sidorenko_image.jpg,Elina_Sidorenko_social_media.txt
Maxim Tadevosyan,Maxim_Tadevosyan_image.jpg,Maxim_Tadevosyan_social_media.txt
Mike Raitsyn,Mike_Raitsyn_image.jpg,Mike_Raitsyn_social_media.txt
