Name,Image File,Social Media File
Mike Jones,Mike_Jones_image.jpg,Mike_Jones_social_media.txt
Gil Penchina,Gil_Penchina_image.jpg,Gil_Penchina_social_media.txt
Jeff Berwick,Jeff_Berwick_image.jpg,Jeff_Berwick_social_media.txt
Simon Cocking,Simon_Cocking_image.jpg,Simon_Cocking_social_media.txt
Peter Moricz,Peter_Moricz_image.jpg,Peter_Moricz_social_media.txt
Steven Sprague,Steven_Sprague_image.jpg,N/A
Xiaochun Li,Xiaochun_Li_image.jpg,Xiaochun_Li_social_media.txt
Mark Crone,Mark_Crone_image.jpg,Mark_Crone_social_media.txt
Michael Wong,Michael_Wong_image.jpg,Michael_Wong_social_media.txt
Chris Cheng,Chris_Cheng_image.jpg,Chris_Cheng_social_media.txt
Jeremy Goodwin,Jeremy_Goodwin_image.jpg,Jeremy_Goodwin_social_media.txt
Andy Tong,Andy_Tong_image.jpg,Andy_Tong_social_media.txt
Jay Ligda,Jay_Ligda_image.jpg,Jay_Ligda_social_media.txt
Dennis Delgado,Dennis_Delgado_image.jpg,Dennis_Delgado_social_media.txt
Victor Nguyen,Victor_Nguyen_image.jpg,Victor_Nguyen_social_media.txt
Ben Gerstein,Ben_Gerstein_image.jpg,Ben_Gerstein_social_media.txt
Sharon Wang,Sharon_Wang_image.jpg,Sharon_Wang_social_media.txt
Tam Du,Tam_Du_image.jpg,Tam_Du_social_media.txt
Ali Zain,Ali_Zain_image.jpg,Ali_Zain_social_media.txt
