Name,Image File,Social Media File
Trung Dao Ha,Trung_Dao_Ha_image.jpg,Trung_Dao_Ha_social_media.txt
Erik Arokszallasi,Erik_Arokszallasi_image.jpg,Erik_Arokszallasi_social_media.txt
Marton Ven,Marton_Ven_image.jpg,Marton_Ven_social_media.txt
Gergely Koves,Gergely_Koves_image.jpg,Gergely_Koves_social_media.txt
Katalin Vereczkey,Katalin_Vereczkey_image.jpg,Katalin_Vereczkey_social_media.txt
Gabor Pajor,Gabor_Pajor_image.jpg,Gabor_Pajor_social_media.txt
Endre Jobbagy,Endre_Jobbagy_image.jpg,Endre_Jobbagy_social_media.txt
Michael Patching,Michael_Patching_image.jpg,Michael_Patching_social_media.txt
Gabor Nagymajtenyi,Gabor_Nagymajtenyi_image.jpg,Gabor_Nagymajtenyi_social_media.txt
Istvan Szukacs,Istvan_Szukacs_image.jpg,Istvan_Szukacs_social_media.txt
Attila Szabo,Attila_Szabo_image.jpg,N/A
Daniel Csendes,Daniel_Csendes_image.jpg,Daniel_Csendes_social_media.txt
Tamas Biro,Tamas_Biro_image.jpg,Tamas_Biro_social_media.txt
Miklos Csaszar,Miklos_Csaszar_image.jpg,Miklos_Csaszar_social_media.txt
Gergely Mate,Gergely_Mate_image.jpg,Gergely_Mate_social_media.txt
Zoltan Vadovics,Zoltan_Vadovics_image.jpg,Zoltan_Vadovics_social_media.txt
Laszlo Szentmiklosi,Laszlo_Szentmiklosi_image.jpg,N/A
Gyorgy Varga,Gyorgy_Varga_image.jpg,Gyorgy_Varga_social_media.txt
Jozsef Tatar,Jozsef_Tatar_image.jpg,Jozsef_Tatar_social_media.txt
