Name,Image File,Social Media File
Andrea Iervolino,Andrea_Iervolino_image.jpg,Andrea_Iervolino_social_media.txt
Jonathan Pullinger,Jonathan_Pullinger_image.jpg,Jonathan_Pullinger_social_media.txt
Marcello Mari,Marcello_Mari_image.jpg,Marcello_Mari_social_media.txt
James Aufenast,James_Aufenast_image.jpg,James_Aufenast_social_media.txt
Anthony McGuire,Anthony_McGuire_image.jpg,Anthony_McGuire_social_media.txt
Ed McCulloch,Ed_McCulloch_image.jpg,Ed_McCulloch_social_media.txt
Hans Hagman,Hans_Hagman_image.jpg,Hans_Hagman_social_media.txt
Mario Alberto Casiraghi,Mario_Alberto_Casiraghi_image.jpg,Mario_Alberto_Casiraghi_social_media.txt
Daniel Santos,Daniel_Santos_image.jpg,Daniel_Santos_social_media.txt
Ryan Goeden,Ryan_Goeden_image.jpg,Ryan_Goeden_social_media.txt
Tom Ara,Tom_Ara_image.jpg,Tom_Ara_social_media.txt
Denis Dembia,Denis_Dembia_image.jpg,Denis_Dembia_social_media.txt
