Name,Image File,Social Media File
Emin Gün Sirer,Emin_Gün_Sirer_image.jpg,Emin_Gün_Sirer_social_media.txt
Alex Tapscott,Alex_Tapscott_image.jpg,Alex_Tapscott_social_media.txt
Michael Barrett,Michael_Barrett_image.jpg,Michael_Barrett_social_media.txt
Steve Babbage,Steve_Babbage_image.jpg,Steve_Babbage_social_media.txt
Peter Haynes,Peter_Haynes_image.jpg,Peter_Haynes_social_media.txt
Craig Burton,Craig_Burton_image.jpg,Craig_Burton_social_media.txt
Ian Scarffe,Ian_Scarffe_image.jpg,Ian_Scarffe_social_media.txt
Ryan Scott,Ryan_Scott_image.jpg,Ryan_Scott_social_media.txt
Phillip Nunn,Phillip_Nunn_image.jpg,Phillip_Nunn_social_media.txt
Pete Martin,Pete_Martin_image.jpg,Pete_Martin_social_media.txt
Bob Stewart,Bob_Stewart_image.jpg,Bob_Stewart_social_media.txt
Dave Wallick,Dave_Wallick_image.jpg,Dave_Wallick_social_media.txt
Srini Kandikattu,Srini_Kandikattu_image.jpg,Srini_Kandikattu_social_media.txt
Kun Peng,Kun_Peng_image.jpg,N/A
Jeffrey Stern,Jeffrey_Stern_image.jpg,Jeffrey_Stern_social_media.txt
