Name,Image File,Social Media File
Rustem Zubairov,Rustem_Zubairov_image.jpg,Rustem_Zubairov_social_media.txt
Dmitriy Laptev,Dmitriy_Laptev_image.jpg,Dmitriy_Laptev_social_media.txt
Predrag Tasevski,Predrag_Tasevski_image.jpg,Predrag_Tasevski_social_media.txt
Victor Sokolov,Victor_Sokolov_image.jpg,Victor_Sokolov_social_media.txt
Alexander Lagutin,Alexander_Lagutin_image.jpg,Alexander_Lagutin_social_media.txt
Yeiho Kim,Yeiho_Kim_image.jpg,N/A
Evgeniy Boev,Evgeniy_Boev_image.jpg,N/A
Valery Gurkov,Valery_Gurkov_image.jpg,N/A
Pavel Nedelko,Pavel_Nedelko_image.jpg,N/A
Yarik Ponomarenko,Yarik_Ponomarenko_image.jpg,N/A
Leonid Kuzmin,Leonid_Kuzmin_image.jpg,N/A
Alexey Shmatok,Alexey_Shmatok_image.jpg,N/A
Artem Tolkachev,Artem_Tolkachev_image.jpg,N/A
Maxim Breus,Maxim_Breus_image.jpg,N/A
Nikolay Grigoriev,Nikolay_Grigoriev_image.jpg,N/A
George Goognin,George_Goognin_image.jpg,N/A
