Name,Image File,Social Media File
Alexander Borodich,Alexander_Borodich_image.jpg,Alexander_Borodich_social_media.txt
Bogdan Fiedur,Bogdan_Fiedur_image.jpg,Bogdan_Fiedur_social_media.txt
Jun Hao,Jun_Hao_image.jpg,Jun_Hao_social_media.txt
Ismail Malik,Ismail_Malik_image.jpg,Ismail_Malik_social_media.txt
Khachatur Gukasyan,Khachatur_Gukasyan_image.jpg,Khachatur_Gukasyan_social_media.txt
Serge Geller,Serge_Geller_image.jpg,Serge_Geller_social_media.txt
Stepan Tsaturyan,Stepan_Tsaturyan_image.jpg,Stepan_Tsaturyan_social_media.txt
Andrey Gunin,Andrey_Gunin_image.jpg,Andrey_Gunin_social_media.txt
Viacheslav Timerbulatov,Viacheslav_Timerbulatov_image.jpg,Viacheslav_Timerbulatov_social_media.txt
Sergey Shvey,Sergey_Shvey_image.jpg,Sergey_Shvey_social_media.txt
Alexander Andrianov,Alexander_Andrianov_image.jpg,Alexander_Andrianov_social_media.txt
David Khudaverdyan,David_Khudaverdyan_image.jpg,David_Khudaverdyan_social_media.txt
Danil Yakovlev,Danil_Yakovlev_image.jpg,Danil_Yakovlev_social_media.txt
Hayk Manukyan,Hayk_Manukyan_image.jpg,Hayk_Manukyan_social_media.txt
Anahit Ghazaryan,Anahit_Ghazaryan_image.jpg,Anahit_Ghazaryan_social_media.txt
Karen Balabekyan,Karen_Balabekyan_image.jpg,Karen_Balabekyan_social_media.txt
Viktorya Karamyan,Viktorya_Karamyan_image.jpg,Viktorya_Karamyan_social_media.txt
Arthur Hakobyan,Arthur_Hakobyan_image.jpg,Arthur_Hakobyan_social_media.txt
Armen Ivanyan,Armen_Ivanyan_image.jpg,Armen_Ivanyan_social_media.txt
Khoren Shahbazyan,Khoren_Shahbazyan_image.jpg,Khoren_Shahbazyan_social_media.txt
Aspram Shadyan,Aspram_Shadyan_image.jpg,Aspram_Shadyan_social_media.txt
Tigran Avetisyan,Tigran_Avetisyan_image.jpg,Tigran_Avetisyan_social_media.txt
Ekaterina Matveeva,Ekaterina_Matveeva_image.jpg,Ekaterina_Matveeva_social_media.txt
Taras Chumachenko,Taras_Chumachenko_image.jpg,Taras_Chumachenko_social_media.txt
Sergey Kovtunenko,Sergey_Kovtunenko_image.jpg,Sergey_Kovtunenko_social_media.txt
