Name,Image File,Social Media File
Walter De Brouwer,Walter_De_Brouwer_image.jpg,Walter_De_Brouwer_social_media.txt
Sam De Brouwer,Sam_De_Brouwer_image.jpg,Sam_De_Brouwer_social_media.txt
Alan Greene,Alan_Greene_image.jpg,Alan_Greene_social_media.txt
Anthea Chung,Anthea_Chung_image.jpg,Anthea_Chung_social_media.txt
Jeremy Howard,Jeremy_Howard_image.jpg,Jeremy_Howard_social_media.txt
Udi Manber,Udi_Manber_image.jpg,Udi_Manber_social_media.txt
Joey Krug,Joey_Krug_image.jpg,Joey_Krug_social_media.txt
Diego Gutierrez Zaldivar,Diego_Gutierrez_Zaldivar_image.jpg,Diego_Gutierrez_Zaldivar_social_media.txt
Jonathan Smith,Jonathan_Smith_image.jpg,Jonathan_Smith_social_media.txt
Brad Mills,Brad_Mills_image.jpg,Brad_Mills_social_media.txt
Matthew Roszak,Matthew_Roszak_image.jpg,Matthew_Roszak_social_media.txt
Ryan Selkis,Ryan_Selkis_image.jpg,Ryan_Selkis_social_media.txt
